K,Inertia,Silhouette coefficient
2,1927.9928350928394,0.39002816012967423
3,1195.2745489531846,0.41876875682422793
4,649.7928251560319,0.5112422770754352
5,568.5748933178197,0.4828292384649673
6,489.08008377496697,0.4744934988089433
7,410.1808233120868,0.5220143671687034
8,329.55928528515085,0.5464745956689296
9,288.0531153477261,0.5651146925343824
10,248.08735796309966,0.5772516373522433
11,209.18655781615652,0.6236753147362318
12,167.8784933413772,0.6619449220271784
13,128.95876764740984,0.7120509395562299
14,88.95906073955629,0.7665162055307297
15,49.12829952742029,0.8231851834152875
16,10.21977412914132,0.8801674893104342
17,9.95743469070467,0.8477892753178939
18,9.725485587792917,0.8131316845335457
19,9.499729808462671,0.7782840002042195
20,9.298622041905809,0.7411906092633734
